event_category,event_action,event_label,total_events,unique_events
city_landing,price_button_submit,Sharm-el-Sheikh / Показать предложения (23),10,10
city_landing,filters-categories_click,Verona / Групповые,1,1
city_landing,price_button_submit,Rostov-on-Don / Показать предложения (55),1,1
city_landing,search-tools-button_open,Pyatigorsk / Все,110,103
city_landing,search-tools-button_open,Sochi / Экстремальные,5,5
city_landing,filters-categories_click,Izmir / Индивидуальные,1,1
city_landing,price_button_submit,Novosibirsk / Показать предложения (19),4,4
city_landing,search-tools-button_open,Krasnodar / Категории ЭКСКУРСИИ ИЗ КРАСНОДАРА,2,2
city_landing,clear_filter_mobile,Catania,1,1
city_landing,search-tools-button_open,Pyatigorsk / Сортировка Сначала самые дешевые,2,2
city_landing,dates_filter_mobile,Bucharest / Сегодня,1,1
city_landing,price_button_submit,Vladikavkaz / Показать предложения (41),57,47
city_landing,dates_filter_mobile,Veliky Novgorod / Сегодня,42,33
city_landing,search-tools-button_open,Rostov-on-Don / Категории Все,2,2
city_landing,filters-categories_click,Makhachkala / На 5 дней,8,7
city_landing,filters-categories_click,Tula / Куликово поле,5,4
city_landing,price_button_submit,Smolensk / Показать предложения (28),2,2
city_landing,search-tools-button_open,Sevastopol / Категории,196,175
city_landing,filters-categories_click,Kostroma / Выездные,12,10
city_landing,price_button_submit,Kemer / Показать предложения (36),5,5
city_landing,filters-categories_click,Vladimir / Вечерние экскурсии,3,3
city_landing,search-tools-button_open,Sochi / Selected: 0,1,1
city_landing,price_third,Vladikavkaz,22,16
city_landing,price_button_submit,Pereslavl-Zalessky / Показать предложения (13),29,29
